"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-01","1986","01","","M","","M","","M","","M","","M","","M","","M","","M","","M","","M","","M"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-02","1986","02","","M","","M","","M","","M","","M","","M","","M","","M","","M","","M","","M"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-03","1986","03","","M","","M","","M","","M","","M","","M","","M","","M","","M","","M","","M"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-04","1986","04","","M","","M","","M","","M","","M","","M","","M","","M","","M","","M","","M"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-05","1986","05","","M","","M","","M","","M","","M","","M","","M","","M","0","","","M","","M"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-06","1986","06","22.8","","10.1","","16.5","","28.6","S","1.9","","130.4","","0.0","","130.4","","0","","30","","111","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-07","1986","07","26.2","","15.0","","20.6","","34.2","","7.8","","72.5","","0.0","","77.9","","0","","31","","56",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-08","1986","08","24.0","","11.8","","17.9","","28.8","","4.2","","230.4","","0.0","","230.4","","0","","22","","61",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-09","1986","09","19.3","","9.1","","14.2","","26.2","","0.8","","213.8","","0.0","","213.8","","0","","18","S","48","B"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-10","1986","10","13.4","","2.6","","8.0","","19.9","","-5.5","","54.9","","0.0","","54.9","","0","","26","S","54","S"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-11","1986","11","5.4","","-3.7","","0.9","","17.9","","-10.7","","21.8","","18.5","","40.3","","0","","32","","54","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1986-12","1986","12","1.2","","-4.7","","-1.8","","4.0","","-17.3","","48.5","","35.2","","83.7","","0","T","25","","63",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-01","1987","01","-1.4","","-9.8","","-5.6","","5.9","","-21.2","","3.1","","50.0","","53.1","","17","","28","","61","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-02","1987","02","-1.4","","-12.6","","-7.0","","4.4","","-25.7","","3.7","","17.2","","20.9","","4","","35","","94","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-03","1987","03","6.9","","-4.2","","1.4","","17.2","","-16.0","","44.7","","22.6","","67.3","","8","","9","S","56","B"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-04","1987","04","14.2","","3.0","","8.6","","28.9","","-9.3","","36.4","","6.2","","42.6","","0","","32","","74","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-05","1987","05","21.0","","7.4","","14.2","","33.5","","-1.6","","57.4","","0.0","","57.4","","0","","19","","69","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-06","1987","06","25.1","","12.3","","18.7","","33.4","","5.5","","81.0","","0.0","","81.0","","0","","28","","52","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-07","1987","07","27.9","","16.1","","22.0","","34.6","","9.4","","90.2","","0.0","","90.2","","0","","20","","59","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-08","1987","08","24.8","","13.0","","18.9","","33.8","","7.9","","82.8","","0.0","","82.8","","0","","27","","102","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-09","1987","09","20.0","","9.6","","14.8","","25.8","","3.2","","82.6","","0.0","","82.6","","0","","29","","54",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-10","1987","10","11.8","","0.6","","6.2","","18.8","","-6.0","","51.0","","0.0","","51.0","","0","","28","","59","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-11","1987","11","6.8","","-2.6","","2.1","","19.4","","-15.0","","93.4","","25.5","","118.9","","0","","32","","67","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1987-12","1987","12","2.1","","-4.4","","-1.2","","13.1","","-17.7","","42.5","","33.5","","75.4","","0","T","12","","78","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1988-01","1988","01","-1.0","","-10.6","","-5.8","","13.6","","-25.7","","21.0","","15.5","","33.3","","0","","27","","87","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1988-02","1988","02","-2.4","","-13.3","","-7.9","","8.5","","-22.4","","13.6","","56.2","","63.6","","6","","29","","70","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1988-03","1988","03","3.1","","-6.5","","-1.7","","18.4","","-19.0","","21.0","","3.5","","24.5","","0","","27","","74","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1988-04","1988","04","10.6","","0.6","","5.6","","18.5","","-4.9","","62.9","","0.4","","63.3","","0","","23","","59",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1988-05","1988","05","20.4","","7.0","","13.7","","31.2","","-1.7","","62.5","","0.0","","62.5","","0","","31","","69",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1988-06","1988","06","24.4","","10.4","","17.4","","34.8","S","3.1","","32.9","","0.0","","32.9","","0","","30","","67",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1988-07","1988","07","29.4","","15.4","","22.4","","37.2","","6.9","","52.6","","0.0","","52.6","","0","","26","","93","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1988-08","1988","08","27.0","","13.9","","20.5","","36.0","","5.6","","40.1","","0.0","","40.1","","0","","30","","65","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1988-09","1988","09","20.2","","8.4","","14.3","","28.4","","3.0","","93.5","","0.0","","93.5","","0","","32","","57","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1988-10","1988","10","11.0","","1.4","","6.2","","26.6","","-7.4","","91.9","","0.0","T","91.9","","0","","19","","74","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1988-11","1988","11","7.4","","0.3","","3.9","","15.3","","-4.8","","66.6","","0.4","","67.0","","0","","15","","83","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1988-12","1988","12","0.9","","-8.6","","-3.9","","11.8","","-21.3","","29.6","","22.4","","51.2","","0","T","23","","74","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1989-01","1989","01","1.0","","-8.0","","-3.5","","10.2","","-24.0","","14.4","","10.4","","24.4","","0","","27","","93","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1989-02","1989","02","-2.8","","-11.9","","-7.4","","9.3","","-21.1","","4.4","","28.7","","31.6","","9","","27","","74","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1989-03","1989","03","2.0","","-7.6","","-2.8","","22.1","","-22.0","","21.0","","21.7","","42.0","","0","","26","","69","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1989-04","1989","04","9.4","","-1.4","","4.0","","17.4","","-6.8","","36.7","","1.9","","38.6","","0","","28","S","54","B"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1989-05","1989","05","18.4","","6.8","","12.6","","27.6","","-1.2","","100.5","","0.0","T","100.5","","0","","31","","65","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1989-06","1989","06","23.7","","12.7","","18.2","","30.3","","6.5","","82.6","","0.0","","82.6","","0","","32","","65","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1989-07","1989","07","28.2","","14.5","","21.4","","34.0","","9.2","","36.9","","0.0","","36.9","","0","","29","","57",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1989-08","1989","08","24.7","","13.1","","18.9","","33.3","","6.1","","97.3","","0.0","","97.3","","0","","23","","65","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1989-09","1989","09","20.7","","8.7","","14.7","","29.0","","-2.0","","89.2","","0.0","","89.2","","0","","31","","81","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1989-10","1989","10","14.9","","3.1","","9.0","","24.5","","-2.7","","78.1","","2.0","","96.7","","0","","30","S","67","S"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1989-11","1989","11","5.7","","-3.5","","1.1","","17.3","","-14.8","","95.6","","6.6","","102.2","","1","","32","E","93","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1989-12","1989","12","-6.1","","-15.8","","-11.0","","4.6","","-25.3","","5.8","","29.6","","33.6","","18","","32","S","74","S"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1990-01","1990","01","2.2","","-6.0","","-1.9","","9.0","","-15.8","","22.0","","26.2","","45.0","","8","","23","","87","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1990-02","1990","02","0.8","","-9.4","","-4.3","","11.3","","-22.4","","51.8","","41.3","","91.2","","11","","30","","65","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1990-03","1990","03","5.2","","-4.7","","0.3","","21.8","","-16.2","","35.6","","10.0","","45.4","","0","","24","","69","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1990-04","1990","04","13.8","","2.2","","8.0","","31.7","","-5.9","","54.8","","9.9","","64.7","","0","","30","","65","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1990-05","1990","05","17.5","","5.4","","11.5","","24.9","","-1.4","","71.1","","0.0","T","71.1","","0","","25","","87","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1990-06","1990","06","24.5","","12.4","","18.5","","30.5","","5.9","","105.3","","0.0","","105.3","","0","","25","","74","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1990-07","1990","07","26.7","","14.9","","20.8","","35.4","","10.6","","59.6","","0.0","","59.6","","0","","23","","65","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1990-08","1990","08","25.9","","14.5","","20.2","","31.4","","10.4","","86.4","","0.0","","86.4","","0","","28","","44","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1990-09","1990","09","20.5","","9.3","","14.9","","29.5","","2.0","","53.1","","0.0","","53.1","","0","","17","","56","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1990-10","1990","10","14.3","","3.5","","8.9","","26.3","","-4.4","","118.7","","0.2","","118.9","","0","","30","","70",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1990-11","1990","11","9.0","","-1.2","","3.9","","22.0","","-7.3","","50.8","","12.0","","62.6","","0","","30","","70",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1990-12","1990","12","2.6","","-6.2","","-1.8","","12.4","","-15.5","","70.4","","47.2","","117.6","","1","","10","S","63","B"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1991-01","1991","01","-2.3","","-11.0","","-6.7","","4.7","","-22.7","","12.8","","33.2","","45.0","","11","","27","E","70","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1991-02","1991","02","1.6","","-8.0","","-3.2","","11.0","","-22.0","","3.0","","23.9","","26.4","","0","T","32","E","59","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1991-03","1991","03","5.6","","-3.5","","1.0","","17.0","","-11.5","","107.4","","8.7","","115.9","","0","","25","E","104","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1991-04","1991","04","13.4","","3.3","","8.3","","28.0","","-6.5","","117.2","","1.2","","118.4","","0","","27","E","83","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1991-05","1991","05","22.5","","9.7","","16.1","","30.2","","0.0","","74.7","","0.0","","74.7","","0","","22","E","65","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1991-06","1991","06","26.9","","13.2","","20.1","","34.5","","6.0","","22.8","","0.0","","22.8","","0","","22","E","83","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1991-07","1991","07","27.9","","15.5","","21.7","","35.6","","10.6","","76.5","","0.0","","76.5","","0","","32","E","50","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1991-08","1991","08","27.3","","15.2","","21.3","","34.5","","10.0","","56.0","","0.0","","56.0","","0","","25","E","78","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1991-09","1991","09","21.0","","8.2","","14.6","","32.8","","-1.4","","45.9","","0.0","T","45.9","","0","","28","E","65","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1991-10","1991","10","15.3","","4.4","","9.8","","26.4","","-4.1","","57.8","","0.0","T","57.8","","0","","24","E","65","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1991-11","1991","11","6.1","","-2.0","","2.0","","18.1","","-10.4","","46.9","","15.3","","62.2","","0","T","23","E","111","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1991-12","1991","12","1.6","","-8.0","","-3.2","","13.2","","-20.0","","17.1","","34.9","","50.2","","0","T","28","E","93","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1992-01","1992","01","-1.3","","-8.9","","-5.1","","6.0","S","-24.0","","12.8","","25.3","","37.4","","3","","35","E","111","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1992-02","1992","02","-0.6","","-9.6","","-5.1","","5.1","","-20.9","","37.6","","22.0","","59.2","","1","","31","B","65","B"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1992-03","1992","03","3.0","","-6.4","","-1.7","","11.7","","-16.3","","23.6","","13.3","","35.3","","0","","31","E","76","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1992-04","1992","04","9.7","","0.5","","5.1","","18.6","","-6.7","","109.8","","6.2","","116.0","","0","","31","E","59","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1992-05","1992","05","18.7","","5.8","","12.2","","29.8","","-1.1","","65.7","","0.0","","65.7","","0","","31","E","63","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1992-06","1992","06","22.7","","10.0","","16.4","","31.2","","4.5","S","58.2","","0.0","","58.2","","0","","30","E","74","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1992-07","1992","07","22.8","","12.6","","17.7","","27.7","","8.3","","150.4","","0.0","","150.4","","0","","20","E","61","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1992-08","1992","08","23.4","","12.0","","17.7","","29.8","","6.5","","157.2","","0.0","","157.2","","0","","31","E","80","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1992-09","1992","09","20.4","","8.8","","14.6","","29.6","","-0.1","","112.7","","0.0","","112.7","","0","","24","E","70","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1992-10","1992","10","12.3","","1.5","","6.9","","25.5","","-5.5","","65.6","","3.2","","68.8","","0","","26","E","74","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1992-11","1992","11","5.8","","-0.9","","2.4","","15.0","","-9.7","","109.2","","16.0","","125.2","","0","","26","E","93","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1992-12","1992","12","1.0","","-5.9","","-2.5","","7.8","","-17.9","","18.2","","66.9","","78.8","","0","T","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1993-01","1993","01","-0.3","","-8.4","","-4.3","","11.7","","-16.5","","47.0","","36.5","","82.9","","14","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1993-02","1993","02","-4.1","","-14.8","","-9.5","","4.2","","-25.7","","0.0","T","40.3","","39.8","","22","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1993-03","1993","03","2.3","","-7.4","","-2.5","","16.4","","-21.5","","2.2","","21.3","","23.1","","0","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1993-04","1993","04","11.5","","1.1","","6.3","","20.3","","-3.5","","92.9","","4.8","","97.7","","0","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1993-05","1993","05","18.8","","5.8","","12.3","","29.8","","-1.3","","50.0","","0.0","","50.0","","0","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1993-06","1993","06","23.1","","11.4","","17.3","","29.1","S","6.0","S","158.4","","0.0","","158.4","","0","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1993-07","1993","07","27.5","","15.2","","21.4","","32.7","","10.7","","69.3","","0.0","","69.3","","0","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1993-08","1993","08","27.7","","14.5","","21.1","","35.0","","7.8","","44.3","","0.0","","44.3","","0","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1993-09","1993","09","19.4","","7.7","","13.6","","29.2","","-1.0","","52.5","","0.0","","52.5","","0","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1993-10","1993","10","13.1","","1.3","","7.3","","24.6","","-5.3","","76.9","","0.4","","77.3","","0","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1993-11","1993","11","6.4","","-1.9","","2.3","","15.2","","-12.3","","72.5","","1.2","","73.7","","0","T","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1993-12","1993","12","0.9","","-7.9","","-3.5","","10.0","","-23.0","","23.5","","6.6","","29.7","","0","T","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1994-01","1994","01","-7.8","","-19.2","","-13.5","","4.1","","-35.2","","11.8","","58.3","","67.2","","15","","31","","52","B"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1994-02","1994","02","-4.0","","-14.5","","-9.3","","12.0","","-24.9","","0.0","T","27.8","","24.8","","5","","10","","63","B"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1994-03","1994","03","3.6","","-5.7","","-1.1","","14.9","","-15.4","","26.5","","23.5","","55.4","","0","","28","","70",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1994-04","1994","04","13.0","","0.6","","6.8","","25.9","","-10.0","","64.3","","18.6","","81.7","","0","","30","","80",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1994-05","1994","05","17.8","","5.2","","11.5","","29.7","","-2.0","","75.4","","0.0","","75.4","","0","","22","","59",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1994-06","1994","06","25.5","","12.7","","19.1","","36.0","","5.6","","59.7","","0.0","","59.7","","0","","33","","65",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1994-07","1994","07","27.4","","15.0","","21.2","","33.4","","9.3","","103.8","","0.0","","103.8","","0","","19","","52","B"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1994-08","1994","08","24.5","","12.7","","18.6","","30.1","","7.6","","46.7","","0.0","","46.7","","0","","24","","74","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1994-09","1994","09","21.6","","10.0","","15.8","","30.5","","4.8","","58.0","","0.0","","58.0","","0","","30","","56","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1994-10","1994","10","15.2","","3.3","","9.3","","22.0","","-2.5","","24.1","","0.0","","24.1","","0","","21","","52","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1994-11","1994","11","9.4","","0.2","","4.8","","17.8","","-11.6","","100.1","","4.5","","104.8","","0","","11","","82","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1994-12","1994","12","3.2","","-5.3","","-1.1","","10.5","","-21.3","","26.5","","29.1","","52.8","","0","","31","E","61","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1995-01","1995","01","-0.5","","-7.4","","-4.0","","11.8","","-20.7","","94.5","","31.9","","122.8","","7","","27","","56","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1995-02","1995","02","-3.2","","-13.5","","-8.4","","7.3","","-24.3","","4.4","","17.6","","20.6","","5","","29","","70",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1995-03","1995","03","7.3","","-4.5","","1.4","","21.9","","-16.4","","41.8","","10.2","","57.3","","0","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1995-04","1995","04","8.5","","-1.2","","3.7","","16.5","","-9.8","","76.4","","3.4","","79.8","","0","","31","E","69","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1995-05","1995","05","18.9","","7.1","","13.0","","28.2","","0.2","","83.8","","0.0","","83.8","","0","","18","E","56","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1995-06","1995","06","25.9","","13.7","","19.8","","36.6","","6.9","","43.6","","0.0","","43.6","","0","","24","S","44","S"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1995-07","1995","07","27.3","","15.3","","21.3","","36.8","","6.9","","91.6","","0.0","","91.6","","0","","33","","135",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1995-08","1995","08","27.4","","15.5","","21.5","","35.1","","7.3","","68.8","","0.0","","68.8","","0","","33","E","63","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1995-09","1995","09","20.0","","7.1","","13.6","","29.9","","2.4","","38.3","","0.0","","38.3","","0","","21","","63",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1995-10","1995","10","15.0","","5.1","","10.1","","26.3","","-2.2","","145.4","","0.0","T","145.4","","0","","25","E","80","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1995-11","1995","11","3.6","","-2.7","","0.4","","18.4","","-10.2","","105.0","","40.8","","144.5","","0","T","32","E","74","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1995-12","1995","12","-2.3","","-9.6","","-6.0","","5.0","","-20.2","","9.2","","36.7","","42.5","","12","","24","E","72","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1996-01","1996","01","-2.0","","-12.7","","-7.4","","11.9","","-27.1","","47.2","","27.1","","74.6","","7","","24","E","83","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1996-02","1996","02","-2.4","","-10.9","","-6.7","","8.8","","-24.6","","33.1","","11.5","","44.6","","1","","26","E","74","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1996-03","1996","03","1.8","","-8.5","","-3.4","","14.3","","-19.5","","2.0","","37.1","","46.1","","0","","20","E","74","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1996-04","1996","04","8.8","","-1.6","E","3.5","E","21.6","","-8.0","E","75.0","","16.8","","93.8","","0","","28","","76",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1996-05","1996","05","17.6","","5.1","","11.4","","33.0","","-2.1","","121.7","","0.0","","121.7","","0","","32","E","61","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1996-06","1996","06","23.6","","13.6","","18.6","","31.2","","5.9","","99.6","","0.0","","99.6","","0","","18","","52",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1996-07","1996","07","25.2","","14.0","","19.6","","30.0","","10.1","S","119.5","","0.0","","119.5","","0","","33","E","83","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1996-08","1996","08","26.5","","14.4","","20.4","","31.7","","9.7","","62.8","","0.0","","62.8","","0","","26","E","87","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1996-09","1996","09","21.4","","11.1","","16.3","","28.7","","2.5","","167.6","","0.0","","167.6","","0","","36","E","46","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1996-10","1996","10","13.8","","3.4","","8.6","","23.9","S","-3.2","","75.3","","0.0","T","75.3","","0","","25","","74",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1996-11","1996","11","4.1","","-3.2","","0.5","","19.5","","-10.8","","25.4","","8.4","","32.8","","0","T","33","E","52","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1996-12","1996","12","2.6","","-4.0","","-0.7","","12.6","","-17.4","","56.7","","39.6","","95.5","","12","","21","B","56","B"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1997-01","1997","01","-1.9","E","-11.6","E","-6.8","E","10.3","E","-25.7","E","16.8","","58.6","","71.5","","14","","24","I","74","I"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1997-02","1997","02","1.0","","-9.5","","-4.3","","9.5","","-22.6","","62.0","","23.9","","84.2","","0","","25","I","100","I"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1997-03","1997","03","2.6","","-6.8","","-2.1","","14.4","","-16.6","","32.6","","47.2","","79.4","","4","","27","E","67","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1997-04","1997","04","11.4","","-0.1","","5.7","","23.3","","-10.1","","23.5","","8.9","","32.4","","0","","22","E","72","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1997-05","1997","05","14.3","","3.5","","8.9","","20.8","","-1.3","S","75.0","","0.0","","75.0","","0","","32","E","70","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1997-06","1997","06","25.9","","12.9","","19.5","","33.4","","5.5","","78.7","","0.0","","78.7","","0","","29","E","56","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1997-07","1997","07","26.1","","14.0","","20.1","","34.0","","8.0","","71.8","","0.0","","71.8","","0","","26","E","52","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1997-08","1997","08","24.0","","12.4","","18.2","","31.0","","8.3","","74.4","","0.0","","74.4","","0","","","","",""
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1997-09","1997","09","20.9","","9.6","","15.3","","28.0","","0.5","","66.8","","0.0","","66.8","","0","","24","E","78","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1997-10","1997","10","13.8","","3.1","","8.5","","25.0","","-3.5","","29.2","","7.8","","37.0","","0","","27","E","72","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1997-11","1997","11","5.1","","-1.8","","1.6","","12.9","","-9.9","","38.8","","21.1","","58.1","","0","","32","E","69","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1997-12","1997","12","1.3","","-5.1","","-1.9","","9.4","","-18.4","","13.1","","21.0","","32.6","","1","","32","E","59","E"
"-79.37","43.86","TORONTO BUTTONVILLE A","615HMAK","1998-01","1998","01","0.1","","-6.9","","-3.4","","10.2","","-14.9","","51.7","","40.4","","92.6","","14","","22","B","56","B"
